Term,Word Count,TF-IDF
spatial,1,0.011946314428672725
today,1,0.011946314428672725
ask,1,0.011946314428672725
practice,1,0.011946314428672725
response,8,0.0955705154293818
useful,1,0.011946314428672725
defined,1,0.011946314428672725
consult,2,0.02389262885734545
stuck,1,0.011946314428672725
decide,1,0.011946314428672725
large,6,0.07167788657203636
limitation,2,0.02389262885734545
follow,2,0.02389262885734545
degree,1,0.011946314428672725
fact,1,0.011946314428672725
detailing,1,0.011946314428672725
artificial,2,0.02389262885734545
reflected,1,0.011946314428672725
post,1,0.011946314428672725
helping,1,0.011946314428672725
sensitive,1,0.011946314428672725
clear,4,0.0477852577146909
enhancing,1,0.011946314428672725
differs,1,0.011946314428672725
control,1,0.011946314428672725
appropriate,1,0.011946314428672725
previously,1,0.011946314428672725
examiner,3,0.03583894328601818
one,2,0.02389262885734545
author,1,0.011946314428672725
specifically,1,0.011946314428672725
type,2,0.02389262885734545
agreement,1,0.011946314428672725
pf,1,0.011946314428672725
usually,4,0.0477852577146909
uncritically,2,0.02389262885734545
practically,1,0.011946314428672725
philosophical,1,0.011946314428672725
available,1,0.011946314428672725
choice,1,0.011946314428672725
fed,2,0.02389262885734545
tip,1,0.011946314428672725
content,2,0.02389262885734545
speech,1,0.011946314428672725
théâtre,1,0.011946314428672725
good,2,0.02389262885734545
protected,1,0.011946314428672725
database,1,0.011946314428672725
extent,2,0.02389262885734545
big,1,0.011946314428672725
statistic,1,0.011946314428672725
code,4,0.0477852577146909
programmer,1,0.011946314428672725
chatbots,1,0.011946314428672725
collection,1,0.011946314428672725
frequently,1,0.011946314428672725
licensed,1,0.011946314428672725
called,4,0.0477852577146909
saying,1,0.011946314428672725
http,1,0.011946314428672725
based,12,0.14335577314407272
referring,1,0.011946314428672725
examination,1,0.011946314428672725
relevant,1,0.011946314428672725
guide,1,0.011946314428672725
played,1,0.011946314428672725
day,1,0.011946314428672725
note,1,0.011946314428672725
regard,1,0.011946314428672725
influenced,1,0.011946314428672725
opinion,2,0.02389262885734545
algorithm,3,0.03583894328601818
underlying,1,0.011946314428672725
best,1,0.011946314428672725
path,1,0.011946314428672725
functionality,3,0.03583894328601818
thesis,8,0.0955705154293818
generated,9,0.10751682985805454
paid,1,0.011946314428672725
tool,26,0.3106041751454909
able,2,0.02389262885734545
cautious,2,0.02389262885734545
try,3,0.03583894328601818
capable,1,0.011946314428672725
mean,7,0.08362420100070908
discussion,2,0.02389262885734545
used,9,0.10751682985805454
defending,1,0.011946314428672725
give,1,0.011946314428672725
thus,1,0.011946314428672725
work,9,0.10751682985805454
student,1,0.011946314428672725
search,4,0.0477852577146909
copyright,5,0.05973157214336363
supervisor,2,0.02389262885734545
becomes,1,0.011946314428672725
see,1,0.011946314428672725
brain,1,0.011946314428672725
result,1,0.011946314428672725
described,1,0.011946314428672725
number,1,0.011946314428672725
conducting,1,0.011946314428672725
suitable,1,0.011946314428672725
approved,1,0.011946314428672725
interpret,1,0.011946314428672725
sexism,1,0.011946314428672725
human,5,0.05973157214336363
look,1,0.011946314428672725
know,4,0.0477852577146909
model,14,0.16724840200141816
frequency,1,0.011946314428672725
fast,1,0.011946314428672725
could,1,0.011946314428672725
certainty,1,0.011946314428672725
website,1,0.011946314428672725
regarding,1,0.011946314428672725
