Term,Word Count,TF-IDF
confidential,1,0.02234950781338371
provide,1,0.02234950781338371
therefore,1,0.02234950781338371
guidance,2,0.04469901562676742
responsible,1,0.02234950781338371
stress,1,0.02234950781338371
checker,1,0.02234950781338371
applicable,1,0.02234950781338371
service,2,0.04469901562676742
involving,1,0.02234950781338371
unit,1,0.02234950781338371
produce,1,0.02234950781338371
offer,2,0.04469901562676742
via,2,0.04469901562676742
purpose,1,0.02234950781338371
artificial,1,0.02234950781338371
section,2,0.04469901562676742
teacher,5,0.11174753906691855
process,2,0.04469901562676742
complies,1,0.02234950781338371
exam,13,0.29054360157398823
support,8,0.17879606250706967
ethic,1,0.02234950781338371
assignment,4,0.08939803125353483
experience,1,0.02234950781338371
necessary,1,0.02234950781338371
written,1,0.02234950781338371
permitted,8,0.17879606250706967
disciplinary,5,0.11174753906691855
board,2,0.04469901562676742
importance,1,0.02234950781338371
find,1,0.02234950781338371
available,1,0.02234950781338371
digital,1,0.02234950781338371
security,1,0.02234950781338371
provided,3,0.06704852344015112
content,2,0.04469901562676742
use,18,0.40229114064090676
review,1,0.02234950781338371
matter,2,0.04469901562676742
draft,1,0.02234950781338371
unwanted,1,0.02234950781338371
data,5,0.11174753906691855
intelligence,1,0.02234950781338371
applies,1,0.02234950781338371
informing,1,0.02234950781338371
time,1,0.02234950781338371
learn,1,0.02234950781338371
obligated,2,0.04469901562676742
behaviour,1,0.02234950781338371
curious,1,0.02234950781338371
cost,1,0.02234950781338371
karlstad,4,0.08939803125353483
approach,1,0.02234950781338371
collection,1,0.02234950781338371
oral,1,0.02234950781338371
career,1,0.02234950781338371
final,1,0.02234950781338371
constitutes,2,0.04469901562676742
free,1,0.02234950781338371
ai,0,0.02234950781338371
university,10,0.2234950781338371
syllabus,1,0.02234950781338371
committee,1,0.02234950781338371
tool,11,0.2458445859472208
suspicion,2,0.04469901562676742
prepare,1,0.02234950781338371
knowledge,2,0.04469901562676742
contact,2,0.04469901562676742
revise,1,0.02234950781338371
used,6,0.13409704688030225
case,1,0.02234950781338371
information,6,0.13409704688030225
officer,1,0.02234950781338371
give,1,0.02234950781338371
method,1,0.02234950781338371
vulnerability,2,0.04469901562676742
work,1,0.02234950781338371
need,1,0.02234950781338371
student,10,0.2234950781338371
health,1,0.02234950781338371
copyright,1,0.02234950781338371
welcome,1,0.02234950781338371
kept,1,0.02234950781338371
update,1,0.02234950781338371
prohibited,5,0.11174753906691855
element,1,0.02234950781338371
submitting,1,0.02234950781338371
understanding,1,0.02234950781338371
orally,1,0.02234950781338371
taking,1,0.02234950781338371
could,1,0.02234950781338371
regarding,2,0.04469901562676742
education,1,0.02234950781338371
never,2,0.04469901562676742
image,1,0.02234950781338371
submit,1,0.02234950781338371
experiencing,1,0.02234950781338371
undergone,2,0.04469901562676742
version,1,0.02234950781338371
remember,2,0.04469901562676742
evaluation,1,0.02234950781338371
source,1,0.02234950781338371
decides,1,0.02234950781338371
instruction,1,0.02234950781338371
always,3,0.06704852344015112
restriction,1,0.02234950781338371
writing,2,0.04469901562676742
connection,2,0.04469901562676742
copyrighted,2,0.04469901562676742
library,3,0.06704852344015112
report,2,0.04469901562676742
guideline,4,0.08939803125353483
language,1,0.02234950781338371
different,1,0.02234950781338371
future,1,0.02234950781338371
plagiarism,1,0.02234950781338371
example,3,0.06704852344015112
increase,1,0.02234950781338371
similar,1,0.02234950781338371
aid,4,0.08939803125353483
way,5,0.11174753906691855
structure,1,0.02234950781338371
unsure,2,0.04469901562676742
create,1,0.02234950781338371
centre,1,0.02234950781338371
turn,1,0.02234950781338371
help,1,0.02234950781338371
start,1,0.02234950781338371
fully,1,0.02234950781338371
ensure,1,0.02234950781338371
coordinator,1,0.02234950781338371
explore,1,0.02234950781338371
transparent,1,0.02234950781338371
generative,0,0.04469901562676742
learning,2,0.04469901562676742
correct,1,0.02234950781338371
graphical,1,0.02234950781338371
upe,2,0.04469901562676742
make,1,0.02234950781338371
anxiety,1,0.02234950781338371
advice,1,0.02234950781338371
whether,1,0.02234950781338371
course,11,0.2458445859472208
production,1,0.02234950781338371
risk,2,0.04469901562676742
since,2,0.04469901562676742
analysis,3,0.06704852344015112
well,2,0.04469901562676742
context,1,0.02234950781338371
inslaget,1,0.02234950781338371
legal,1,0.02234950781338371
encourage,1,0.02234950781338371
law,1,0.02234950781338371
however,1,0.02234950781338371
responsibility,1,0.02234950781338371
state,1,0.02234950781338371
ground,2,0.04469901562676742
material,1,0.02234950781338371
referencing,1,0.02234950781338371
prevent,2,0.04469901562676742
personal,2,0.04469901562676742
study,1,0.02234950781338371
regulation,1,0.02234950781338371
may,1,0.02234950781338371
misleading,1,0.02234950781338371
input,1,0.02234950781338371
feel,1,0.02234950781338371
gai,19,0.4246406484542905
function,1,0.02234950781338371
teaching,3,0.06704852344015112
minimum,1,0.02234950781338371
component,1,0.02234950781338371
experimenting,1,0.02234950781338371
must,4,0.08939803125353483
