Term,Word Count,TF-IDF
generic,1,0.0051538860584971315
email,1,0.0051538860584971315
ask,7,0.036077202409479925
repetitive,2,0.010307772116994263
useful,1,0.0051538860584971315
housing,1,0.0051538860584971315
automatic,1,0.0051538860584971315
emerging,1,0.0051538860584971315
automation,2,0.010307772116994263
rpa,1,0.0051538860584971315
large,1,0.0051538860584971315
limitation,5,0.02576943029248566
show,1,0.0051538860584971315
degree,2,0.010307772116994263
normal,1,0.0051538860584971315
summarize,2,0.010307772116994263
scheduling,1,0.0051538860584971315
connected,1,0.0051538860584971315
opportunity,2,0.010307772116994263
post,1,0.0051538860584971315
sensitive,6,0.03092331635098279
checklist,1,0.0051538860584971315
support,37,0.19069378416439386
type,7,0.036077202409479925
assignment,5,0.02576943029248566
translated,5,0.02576943029248566
criticism,1,0.0051538860584971315
easier,1,0.0051538860584971315
bjelobaba,1,0.0051538860584971315
staff,1,0.0051538860584971315
digital,2,0.010307772116994263
assistant,1,0.0051538860584971315
powerpoint,1,0.0051538860584971315
good,5,0.02576943029248566
carefully,1,0.0051538860584971315
skill,3,0.015461658175491395
stay,2,0.010307772116994263
classmate,2,0.010307772116994263
time,13,0.06700051876046272
conclusion,1,0.0051538860584971315
cost,6,0.03092331635098279
early,1,0.0051538860584971315
lecture,4,0.020615544233988526
called,2,0.010307772116994263
based,7,0.036077202409479925
program,3,0.015461658175491395
range,1,0.0051538860584971315
rely,1,0.0051538860584971315
emphasize,2,0.010307772116994263
thesis,3,0.015461658175491395
generated,1,0.0051538860584971315
tool,9,0.046384974526474186
adapt,2,0.010307772116994263
entered,1,0.0051538860584971315
nb,3,0.015461658175491395
specific,5,0.02576943029248566
discussion,2,0.010307772116994263
published,3,0.015461658175491395
give,1,0.0051538860584971315
people,1,0.0051538860584971315
addition,4,0.020615544233988526
student,49,0.2525404168663595
search,4,0.020615544233988526
profession,2,0.010307772116994263
sensible,2,0.010307772116994263
european,1,0.0051538860584971315
force,1,0.0051538860584971315
number,2,0.010307772116994263
currently,9,0.046384974526474186
easily,2,0.010307772116994263
element,3,0.015461658175491395
suitable,1,0.0051538860584971315
association,1,0.0051538860584971315
ca,1,0.0051538860584971315
intend,1,0.0051538860584971315
eu,2,0.010307772116994263
every,2,0.010307772116994263
pettersson,1,0.0051538860584971315
look,2,0.010307772116994263
taking,1,0.0051538860584971315
model,2,0.010307772116994263
area,1,0.0051538860584971315
compile,1,0.0051538860584971315
thereby,1,0.0051538860584971315
fast,2,0.010307772116994263
regarding,1,0.0051538860584971315
companion,4,0.020615544233988526
transformer,1,0.0051538860584971315
express,1,0.0051538860584971315
hallucinating,1,0.0051538860584971315
protection,6,0.03092331635098279
account,6,0.03092331635098279
image,8,0.04123108846797705
never,2,0.010307772116994263
going,1,0.0051538860584971315
page,5,0.02576943029248566
cope,2,0.010307772116994263
instruction,1,0.0051538860584971315
given,1,0.0051538860584971315
shorten,1,0.0051538860584971315
accessibility,6,0.03092331635098279
always,5,0.02576943029248566
write,17,0.08761606299445124
everyday,2,0.010307772116994263
life,4,0.020615544233988526
piece,1,0.0051538860584971315
excursion,2,0.010307772116994263
system,15,0.07730829087745698
part,7,0.036077202409479925
existing,2,0.010307772116994263
future,5,0.02576943029248566
higher,4,0.020615544233988526
increase,1,0.0051538860584971315
similar,5,0.02576943029248566
aid,3,0.015461658175491395
supposed,1,0.0051538860584971315
technical,1,0.0051538860584971315
yet,1,0.0051538860584971315
working,2,0.010307772116994263
centre,1,0.0051538860584971315
counsel,1,0.0051538860584971315
raise,1,0.0051538860584971315
reference,8,0.04123108846797705
finally,7,0.036077202409479925
listening,2,0.010307772116994263
linnaeus,2,0.010307772116994263
private,6,0.03092331635098279
testing,7,0.036077202409479925
entire,1,0.0051538860584971315
gpt,3,0.015461658175491395
learning,12,0.06184663270196558
doctoral,2,0.010307772116994263
possible,5,0.02576943029248566
original,2,0.010307772116994263
within,1,0.0051538860584971315
audio,4,0.020615544233988526
academic,4,0.020615544233988526
develop,6,0.03092331635098279
sonja,1,0.0051538860584971315
risk,10,0.05153886058497132
analyse,2,0.010307772116994263
june,6,0.03092331635098279
context,2,0.010307772116994263
branch,1,0.0051538860584971315
supporting,1,0.0051538860584971315
test,6,0.03092331635098279
however,6,0.03092331635098279
improve,1,0.0051538860584971315
parent,2,0.010307772116994263
complex,4,0.020615544233988526
trend,2,0.010307772116994263
subtitling,2,0.010307772116994263
manual,2,0.010307772116994263
difficult,8,0.04123108846797705
even,1,0.0051538860584971315
material,19,0.0979238351114455
norm,1,0.0051538860584971315
summative,2,0.010307772116994263
challenged,1,0.0051538860584971315
academia,1,0.0051538860584971315
prevent,7,0.036077202409479925
answer,4,0.020615544233988526
description,2,0.010307772116994263
various,4,0.020615544233988526
music,1,0.0051538860584971315
personal,2,0.010307772116994263
concept,1,0.0051538860584971315
sure,5,0.02576943029248566
think,2,0.010307772116994263
developing,2,0.010307772116994263
do,2,0.010307772116994263
function,1,0.0051538860584971315
interact,1,0.0051538860584971315
simple,1,0.0051538860584971315
essay,6,0.03092331635098279
provide,5,0.02576943029248566
vision,1,0.0051538860584971315
possibly,1,0.0051538860584971315
forget,6,0.03092331635098279
wide,1,0.0051538860584971315
goal,3,0.015461658175491395
office,3,0.015461658175491395
connect,1,0.0051538860584971315
proprietary,6,0.03092331635098279
generates,1,0.0051538860584971315
issue,3,0.015461658175491395
subject,2,0.010307772116994263
important,11,0.05669274664346845
aware,8,0.04123108846797705
take,3,0.015461658175491395
tag,1,0.0051538860584971315
continue,3,0.015461658175491395
reading,1,0.0051538860584971315
chatbot,3,0.015461658175491395
process,8,0.04123108846797705
launch,1,0.0051538860584971315
document,1,0.0051538860584971315
research,8,0.04123108846797705
letting,2,0.010307772116994263
went,2,0.010307772116994263
general,1,0.0051538860584971315
assessing,1,0.0051538860584971315
practise,1,0.0051538860584971315
new,18,0.09276994905294837
computer,1,0.0051538860584971315
exam,16,0.0824621769359541
u,3,0.0
present,2,0.010307772116994263
loss,1,0.0051538860584971315
read,2,0.010307772116994263
written,7,0.036077202409479925
link,2,0.010307772116994263
carried,1,0.0051538860584971315
assessment,5,0.02576943029248566
security,12,0.06184663270196558
put,1,0.0051538860584971315
learned,2,0.010307772116994263
use,21,0.10823160722843977
multimodal,1,0.0051538860584971315
review,2,0.010307772116994263
disseminated,3,0.015461658175491395
ability,6,0.03092331635098279
around,3,0.015461658175491395
handled,1,0.0051538860584971315
outcome,1,0.0051538860584971315
data,5,0.02576943029248566
intelligence,6,0.03092331635098279
cheating,9,0.046384974526474186
business,1,0.0051538860584971315
format,1,0.0051538860584971315
capitalisation,1,0.0051538860584971315
sometimes,2,0.010307772116994263
challenge,1,0.0051538860584971315
learn,2,0.010307772116994263
group,1,0.0051538860584971315
browser,1,0.0051538860584971315
january,1,0.0051538860584971315
logbook,2,0.010307772116994263
oral,4,0.020615544233988526
mimic,1,0.0051538860584971315
internet,2,0.010307772116994263
software,3,0.015461658175491395
uncontroversial,1,0.0051538860584971315
natural,1,0.0051538860584971315
professor,2,0.010307772116994263
news,1,0.0051538860584971315
requires,1,0.0051538860584971315
university,6,0.03092331635098279
task,6,0.03092331635098279
summarise,8,0.04123108846797705
completely,2,0.010307772116994263
shift,2,0.010307772116994263
variant,1,0.0051538860584971315
common,1,0.0051538860584971315
quick,1,0.0051538860584971315
finding,2,0.010307772116994263
case,1,0.0051538860584971315
right,3,0.015461658175491395
information,18,0.09276994905294837
recruitment,1,0.0051538860584971315
impact,1,0.0051538860584971315
wo,1,0.0051538860584971315
let,6,0.03092331635098279
manage,1,0.0051538860584971315
background,2,0.010307772116994263
change,3,0.015461658175491395
visual,1,0.0051538860584971315
role,1,0.0051538860584971315
kind,2,0.010307772116994263
quickly,10,0.05153886058497132
unauthorized,1,0.0051538860584971315
reduce,1,0.0051538860584971315
suggestion,1,0.0051538860584971315
harvard,1,0.0051538860584971315
etc,5,0.02576943029248566
also,20,0.10307772116994264
synthetic,2,0.010307772116994263
become,3,0.015461658175491395
manageable,1,0.0051538860584971315
privacy,6,0.03092331635098279
much,1,0.0051538860584971315
legally,2,0.010307772116994263
generate,6,0.03092331635098279
ssignment,1,0.0051538860584971315
tracking,1,0.0051538860584971315
et,1,0.0051538860584971315
text,48,0.24738653080786233
kring,1,0.0051538860584971315
attention,6,0.03092331635098279
truly,1,0.0051538860584971315
video,3,0.015461658175491395
automatically,1,0.0051538860584971315
umeå,1,0.0051538860584971315
long,2,0.010307772116994263
entirety,2,0.010307772116994263
accessible,2,0.010307772116994263
end,2,0.010307772116994263
detail,2,0.010307772116994263
adopt,1,0.0051538860584971315
commercial,2,0.010307772116994263
required,2,0.010307772116994263
serious,1,0.0051538860584971315
cultural,2,0.010307772116994263
field,1,0.0051538860584971315
careful,8,0.04123108846797705
include,2,0.010307772116994263
fair,1,0.0051538860584971315
combine,2,0.010307772116994263
pay,6,0.03092331635098279
examine,1,0.0051538860584971315
explain,3,0.015461658175491395
us,3,0.015461658175491395
behind,1,0.0051538860584971315
happening,1,0.0051538860584971315
like,1,0.0051538860584971315
seen,1,0.0051538860584971315
administrator,4,0.020615544233988526
secure,2,0.010307772116994263
wise,2,0.010307772116994263
advice,2,0.010307772116994263
conscious,1,0.0051538860584971315
pm,4,0.020615544233988526
well,2,0.010307772116994263
contain,6,0.03092331635098279
legal,1,0.0051538860584971315
integrate,4,0.020615544233988526
among,2,0.010307772116994263
simultaneously,1,0.0051538860584971315
strategy,3,0.015461658175491395
especially,3,0.015461658175491395
machinery,1,0.0051538860584971315
friend,2,0.010307772116994263
integrated,3,0.015461658175491395
transcribe,2,0.010307772116994263
word,2,0.010307772116994263
already,2,0.010307772116994263
sophisticated,1,0.0051538860584971315
classroom,2,0.010307772116994263
creating,1,0.0051538860584971315
associate,2,0.010307772116994263
session,1,0.0051538860584971315
publishing,1,0.0051538860584971315
teaching,5,0.02576943029248566
recording,2,0.010307772116994263
must,6,0.03092331635098279
aspect,6,0.03092331635098279
today,3,0.015461658175491395
practice,2,0.010307772116994263
pie,1,0.0051538860584971315
unesco,1,0.0051538860584971315
guidance,1,0.0051538860584971315
thought,1,0.0051538860584971315
home,7,0.036077202409479925
rule,2,0.010307772116994263
follow,4,0.020615544233988526
mllm,1,0.0051538860584971315
purpose,1,0.0051538860584971315
assess,4,0.020615544233988526
supervised,1,0.0051538860584971315
artificial,5,0.02576943029248566
almost,3,0.015461658175491395
towards,2,0.010307772116994263
collect,1,0.0051538860584971315
helping,1,0.0051538860584971315
partner,2,0.010307772116994263
generator,1,0.0051538860584971315
clear,5,0.02576943029248566
possibility,4,0.020615544233988526
control,3,0.015461658175491395
previously,1,0.0051538860584971315
phd,2,0.010307772116994263
ethic,1,0.0051538860584971315
formative,2,0.010307772116994263
llm,3,0.015461658175491395
usually,1,0.0051538860584971315
handbook,2,0.010307772116994263
find,8,0.04123108846797705
examined,1,0.0051538860584971315
particular,1,0.0051538860584971315
bard,2,0.010307772116994263
feature,1,0.0051538860584971315
content,4,0.020615544233988526
google,5,0.02576943029248566
speech,3,0.015461658175491395
prepared,2,0.010307772116994263
regardless,1,0.0051538860584971315
known,1,0.0051538860584971315
claim,1,0.0051538860584971315
compared,1,0.0051538860584971315
discus,1,0.0051538860584971315
according,2,0.010307772116994263
identify,1,0.0051538860584971315
chatbots,6,0.03092331635098279
examination,12,0.06184663270196558
guide,1,0.0051538860584971315
note,3,0.015461658175491395
submitted,2,0.010307772116994263
giving,1,0.0051538860584971315
milestone,2,0.010307772116994263
best,2,0.010307772116994263
introduction,1,0.0051538860584971315
policy,1,0.0051538860584971315
spread,7,0.036077202409479925
virtual,5,0.02576943029248566
recently,1,0.0051538860584971315
citation,2,0.010307772116994263
able,7,0.036077202409479925
try,4,0.020615544233988526
mean,1,0.0051538860584971315
everyone,4,0.020615544233988526
used,7,0.036077202409479925
reaching,1,0.0051538860584971315
understandable,1,0.0051538860584971315
detect,1,0.0051538860584971315
last,8,0.04123108846797705
work,7,0.036077202409479925
perceive,1,0.0051538860584971315
utlåtande,1,0.0051538860584971315
teach,2,0.010307772116994263
disability,3,0.015461658175491395
examining,1,0.0051538860584971315
involved,1,0.0051538860584971315
still,1,0.0051538860584971315
see,3,0.015461658175491395
result,2,0.010307772116994263
funka,2,0.010307772116994263
allows,1,0.0051538860584971315
robotic,1,0.0051538860584971315
routine,1,0.0051538860584971315
human,1,0.0051538860584971315
affect,3,0.015461658175491395
know,3,0.015461658175491395
allowing,1,0.0051538860584971315
could,2,0.010307772116994263
customised,1,0.0051538860584971315
difficulty,2,0.010307772116994263
writes,1,0.0051538860584971315
evaluation,1,0.0051538860584971315
intended,1,0.0051538860584971315
translate,5,0.02576943029248566
rapidly,2,0.010307772116994263
person,2,0.010307772116994263
several,11,0.05669274664346845
potential,1,0.0051538860584971315
probably,3,0.015461658175491395
modern,1,0.0051538860584971315
perplexity,2,0.010307772116994263
thing,2,0.010307772116994263
language,16,0.0824621769359541
request,2,0.010307772116994263
term,1,0.0051538860584971315
plagiarism,8,0.04123108846797705
example,16,0.0824621769359541
selects,2,0.010307772116994263
requirement,1,0.0051538860584971315
structure,6,0.03092331635098279
instant,1,0.0051538860584971315
consider,1,0.0051538860584971315
get,6,0.03092331635098279
want,5,0.02576943029248566
bot,3,0.015461658175491395
feedback,2,0.010307772116994263
create,9,0.046384974526474186
thinking,6,0.03092331635098279
swedish,1,0.0051538860584971315
help,20,0.10307772116994264
factual,1,0.0051538860584971315
start,1,0.0051538860584971315
dropping,1,0.0051538860584971315
shorter,2,0.010307772116994263
training,1,0.0051538860584971315
heading,1,0.0051538860584971315
communication,1,0.0051538860584971315
correct,1,0.0051538860584971315
recognize,2,0.010307772116994263
distortion,6,0.03092331635098279
literacy,1,0.0051538860584971315
amazon,1,0.0051538860584971315
utilize,1,0.0051538860584971315
form,4,0.020615544233988526
act,8,0.04123108846797705
spell,1,0.0051538860584971315
player,2,0.010307772116994263
slu,1,0.0051538860584971315
constructive,2,0.010307772116994263
microsoft,3,0.015461658175491395
chat,2,0.010307772116994263
whether,1,0.0051538860584971315
nonsense,1,0.0051538860584971315
chatgpt,6,0.03092331635098279
inform,4,0.020615544233988526
view,1,0.0051538860584971315
analysis,4,0.020615544233988526
correctly,1,0.0051538860584971315
translation,1,0.0051538860584971315
proofread,2,0.010307772116994263
law,1,0.0051538860584971315
awareness,6,0.03092331635098279
statistical,2,0.010307772116994263
application,2,0.010307772116994263
lead,1,0.0051538860584971315
buy,2,0.010307772116994263
without,3,0.015461658175491395
integrity,3,0.015461658175491395
researcher,1,0.0051538860584971315
alternately,2,0.010307772116994263
pedagogy,1,0.0051538860584971315
really,1,0.0051538860584971315
many,19,0.0979238351114455
objective,1,0.0051538860584971315
therefore,2,0.010307772116994263
share,6,0.03092331635098279
market,7,0.036077202409479925
ethical,5,0.02576943029248566
access,2,0.010307772116994263
responsible,5,0.02576943029248566
together,3,0.015461658175491395
deal,1,0.0051538860584971315
upon,1,0.0051538860584971315
increasingly,2,0.010307772116994263
seminar,5,0.02576943029248566
allowed,5,0.02576943029248566
expression,1,0.0051538860584971315
talk,1,0.0051538860584971315
bing,3,0.015461658175491395
describe,3,0.015461658175491395
service,15,0.07730829087745698
others,4,0.020615544233988526
produce,3,0.015461658175491395
second,2,0.010307772116994263
chatbo,1,0.0051538860584971315
blog,1,0.0051538860584971315
appear,1,0.0051538860584971315
money,6,0.03092331635098279
teacher,15,0.07730829087745698
relatively,3,0.015461658175491395
suggesting,1,0.0051538860584971315
open,1,0.0051538860584971315
user,2,0.010307772116994263
platform,1,0.0051538860584971315
administrative,3,0.015461658175491395
importance,2,0.010307772116994263
often,7,0.036077202409479925
