Term,Word Count,TF-IDF
email,1,0.020489394360894086
veletsianos,2,0.04097878872178817
athabasca,1,0.020489394360894086
practice,1,0.020489394360894086
ask,3,0.06146818308268226
stuff,2,0.04097878872178817
response,5,0.10244697180447043
opt,1,0.020489394360894086
harmful,1,0.020489394360894086
emerging,1,0.020489394360894086
para,1,0.020489394360894086
beware,1,0.020489394360894086
usp,1,0.020489394360894086
leadership,1,0.020489394360894086
degree,1,0.020489394360894086
respond,1,0.020489394360894086
prior,1,0.020489394360894086
capability,2,0.04097878872178817
connected,2,0.04097878872178817
artificial,2,0.04097878872178817
comfortable,1,0.020489394360894086
prediction,1,0.020489394360894086
collect,1,0.020489394360894086
distance,1,0.020489394360894086
editing,1,0.020489394360894086
sensitive,1,0.020489394360894086
clear,2,0.04097878872178817
related,1,0.020489394360894086
infancy,1,0.020489394360894086
one,1,0.020489394360894086
plan,2,0.04097878872178817
map,1,0.020489394360894086
support,1,0.020489394360894086
intrinsic,1,0.020489394360894086
assignment,1,0.020489394360894086
staff,1,0.020489394360894086
content,3,0.06146818308268226
google,1,0.020489394360894086
tip,1,0.020489394360894086
affiliate,1,0.020489394360894086
good,1,0.020489394360894086
motivation,1,0.020489394360894086
known,1,0.020489394360894086
crafting,1,0.020489394360894086
pp,2,0.04097878872178817
marking,1,0.020489394360894086
intersect,1,0.020489394360894086
time,1,0.020489394360894086
code,1,0.020489394360894086
interactive,1,0.020489394360894086
according,1,0.020489394360894086
infographic,2,0.04097878872178817
controversial,1,0.020489394360894086
based,1,0.020489394360894086
springer,1,0.020489394360894086
handwritten,1,0.020489394360894086
guide,1,0.020489394360894086
press,1,0.020489394360894086
note,1,0.020489394360894086
best,1,0.020489394360894086
policy,5,0.10244697180447043
core,1,0.020489394360894086
failure,1,0.020489394360894086
recently,1,0.020489394360894086
generated,2,0.04097878872178817
citation,1,0.020489394360894086
tool,3,0.06146818308268226
month,1,0.020489394360894086
trustworthiness,2,0.04097878872178817
rethink,1,0.020489394360894086
please,1,0.020489394360894086
discussion,1,0.020489394360894086
used,3,0.06146818308268226
deleted,2,0.04097878872178817
detect,1,0.020489394360894086
last,2,0.04097878872178817
thus,1,0.020489394360894086
work,1,0.020489394360894086
labor,1,0.020489394360894086
addition,1,0.020489394360894086
student,15,0.3073409154134113
still,1,0.020489394360894086
activity,1,0.020489394360894086
see,1,0.020489394360894086
definitive,1,0.020489394360894086
update,1,0.020489394360894086
ropek,1,0.020489394360894086
navigating,1,0.020489394360894086
currently,1,0.020489394360894086
submitting,2,0.04097878872178817
struggle,1,0.020489394360894086
human,2,0.04097878872178817
removed,1,0.020489394360894086
know,1,0.020489394360894086
massive,1,0.020489394360894086
area,1,0.020489394360894086
go,1,0.020489394360894086
shared,2,0.04097878872178817
elicited,1,0.020489394360894086
bryk,1,0.020489394360894086
account,1,0.020489394360894086
actually,1,0.020489394360894086
adding,1,0.020489394360894086
provides,2,0.04097878872178817
instruction,1,0.020489394360894086
designed,1,0.020489394360894086
always,1,0.020489394360894086
write,9,0.18440454924804678
anything,3,0.06146818308268226
community,1,0.020489394360894086
similarity,1,0.020489394360894086
making,1,0.020489394360894086
educational,2,0.04097878872178817
occasionally,1,0.020489394360894086
part,1,0.020489394360894086
language,3,0.06146818308268226
hastily,1,0.020489394360894086
request,1,0.020489394360894086
future,1,0.020489394360894086
higher,1,0.020489394360894086
example,2,0.04097878872178817
acceptable,2,0.04097878872178817
submits,1,0.020489394360894086
limited,1,0.020489394360894086
consider,4,0.08195757744357635
want,2,0.04097878872178817
feedback,1,0.020489394360894086
individual,1,0.020489394360894086
thinking,1,0.020489394360894086
yet,1,0.020489394360894086
address,1,0.020489394360894086
might,3,0.06146818308268226
help,4,0.08195757744357635
uncanny,1,0.020489394360894086
updating,1,0.020489394360894086
molloy,1,0.020489394360894086
reference,3,0.06146818308268226
dominating,1,0.020489394360894086
training,2,0.04097878872178817
transparent,1,0.020489394360894086
learning,9,0.18440454924804678
correct,1,0.020489394360894086
favour,1,0.020489394360894086
culture,1,0.020489394360894086
social,1,0.020489394360894086
form,2,0.04097878872178817
say,2,0.04097878872178817
set,1,0.020489394360894086
academic,4,0.08195757744357635
whether,2,0.04097878872178817
train,2,0.04097878872178817
chatgpt,26,0.5327242533832462
merry,1,0.020489394360894086
schneider,1,0.020489394360894086
collected,2,0.04097878872178817
parameter,1,0.020489394360894086
proofread,1,0.020489394360894086
law,1,0.020489394360894086
state,1,0.020489394360894086
network,3,0.06146818308268226
world,2,0.04097878872178817
lead,1,0.020489394360894086
without,1,0.020489394360894086
integrity,4,0.08195757744357635
lack,1,0.020489394360894086
turnitin,3,0.06146818308268226
answer,2,0.04097878872178817
event,3,0.06146818308268226
else,1,0.020489394360894086
personal,1,0.020489394360894086
shifted,1,0.020489394360894086
plns,2,0.04097878872178817
input,1,0.020489394360894086
really,1,0.020489394360894086
reconsider,1,0.020489394360894086
accountability,1,0.020489394360894086
considered,2,0.04097878872178817
pull,1,0.020489394360894086
essay,2,0.04097878872178817
objective,1,0.020489394360894086
provide,5,0.10244697180447043
rubric,1,0.020489394360894086
participating,1,0.020489394360894086
reply,1,0.020489394360894086
smith,1,0.020489394360894086
belief,1,0.020489394360894086
ed,3,0.06146818308268226
dataset,2,0.04097878872178817
banning,1,0.020489394360894086
covered,1,0.020489394360894086
talk,2,0.04097878872178817
screenshot,1,0.020489394360894086
describe,1,0.020489394360894086
produce,1,0.020489394360894086
happened,1,0.020489394360894086
first,1,0.020489394360894086
generates,1,0.020489394360894086
continue,1,0.020489394360894086
section,1,0.020489394360894086
meme,2,0.04097878872178817
chatbot,1,0.020489394360894086
teacher,5,0.10244697180447043
medium,1,0.020489394360894086
poster,1,0.020489394360894086
allow,1,0.020489394360894086
research,1,0.020489394360894086
user,3,0.06146818308268226
apa,1,0.020489394360894086
new,1,0.020489394360894086
computer,1,0.020489394360894086
exam,1,0.020489394360894086
read,3,0.06146818308268226
written,3,0.06146818308268226
b,1,0.0
assessment,4,0.08195757744357635
rapid,1,0.020489394360894086
gap,1,0.020489394360894086
simply,1,0.020489394360894086
personally,1,0.020489394360894086
often,1,0.020489394360894086
redesign,1,0.020489394360894086
put,1,0.020489394360894086
provided,1,0.020489394360894086
believe,1,0.020489394360894086
exist,1,0.020489394360894086
use,3,0.06146818308268226
multimodal,1,0.020489394360894086
extrinsic,1,0.020489394360894086
ability,1,0.020489394360894086
addressing,1,0.020489394360894086
middle,1,0.020489394360894086
ertmer,1,0.020489394360894086
intelligence,2,0.04097878872178817
data,6,0.12293636616536452
cheating,3,0.06146818308268226
natalie,1,0.020489394360894086
wrote,1,0.020489394360894086
learn,1,0.020489394360894086
approach,1,0.020489394360894086
instead,1,0.020489394360894086
oral,1,0.020489394360894086
discerning,1,0.020489394360894086
churned,1,0.020489394360894086
internet,3,0.06146818308268226
processing,1,0.020489394360894086
current,1,0.020489394360894086
free,1,0.020489394360894086
list,1,0.020489394360894086
natural,2,0.04097878872178817
ai,0,0.1639151548871527
university,2,0.04097878872178817
week,1,0.020489394360894086
topic,1,0.020489394360894086
shift,1,0.020489394360894086
knowledge,3,0.06146818308268226
revise,1,0.020489394360894086
enforcement,1,0.020489394360894086
information,2,0.04097878872178817
intention,1,0.020489394360894086
method,1,0.020489394360894086
outline,4,0.08195757744357635
online,1,0.020489394360894086
change,1,0.020489394360894086
need,2,0.04097878872178817
role,1,0.020489394360894086
question,2,0.04097878872178817
asking,2,0.04097878872178817
reflect,1,0.020489394360894086
confidence,1,0.020489394360894086
traditional,1,0.020489394360894086
accurate,1,0.020489394360894086
outlined,1,0.020489394360894086
lesson,1,0.020489394360894086
etc,1,0.020489394360894086
also,2,0.04097878872178817
become,1,0.020489394360894086
school,2,0.04097878872178817
privacy,3,0.06146818308268226
differ,1,0.020489394360894086
professional,4,0.08195757744357635
trained,1,0.020489394360894086
made,1,0.020489394360894086
text,11,0.22538333796983495
education,2,0.04097878872178817
class,1,0.020489394360894086
submission,3,0.06146818308268226
direction,1,0.020489394360894086
video,3,0.06146818308268226
statement,1,0.020489394360894086
real,2,0.04097878872178817
implication,1,0.020489394360894086
pulled,1,0.020489394360894086
writing,3,0.06146818308268226
bias,1,0.020489394360894086
report,2,0.04097878872178817
rather,1,0.020489394360894086
guideline,1,0.020489394360894086
resource,3,0.06146818308268226
detection,2,0.04097878872178817
error,1,0.020489394360894086
discussing,1,0.020489394360894086
lot,2,0.04097878872178817
understand,1,0.020489394360894086
honesty,1,0.020489394360894086
careful,1,0.020489394360894086
productive,1,0.020489394360894086
autumm,1,0.020489394360894086
prohibit,1,0.020489394360894086
ensure,1,0.020489394360894086
script,2,0.04097878872178817
design,3,0.06146818308268226
us,1,0.020489394360894086
trustworthy,1,0.020489394360894086
seen,1,0.020489394360894086
vendor,1,0.020489394360894086
recent,1,0.020489394360894086
make,5,0.10244697180447043
anxiety,1,0.020489394360894086
podcast,2,0.04097878872178817
development,2,0.04097878872178817
prompt,5,0.10244697180447043
course,8,0.1639151548871527
declaration,1,0.020489394360894086
openai,2,0.04097878872178817
assume,1,0.020489394360894086
technique,1,0.020489394360894086
company,1,0.020489394360894086
wrong,1,0.020489394360894086
improvement,1,0.020489394360894086
intelligent,1,0.020489394360894086
encourage,1,0.020489394360894086
two,1,0.020489394360894086
trust,1,0.020489394360894086
timeline,2,0.04097878872178817
refer,2,0.04097878872178817
using,3,0.06146818308268226
boud,1,0.020489394360894086
article,4,0.08195757744357635
integrated,1,0.020489394360894086
determines,1,0.020489394360894086
contribution,1,0.020489394360894086
biased,1,0.020489394360894086
faq,1,0.020489394360894086
may,4,0.08195757744357635
classroom,1,0.020489394360894086
feel,1,0.020489394360894086
technology,6,0.12293636616536452
teaching,3,0.06146818308268226
