Term,Word Count,TF-IDF
inheres,1,0.007398481839319421
arrive,1,0.007398481839319421
identifying,3,0.022195445517958264
entirely,1,0.007398481839319421
authentic,1,0.007398481839319421
distinguish,1,0.007398481839319421
misinformation,1,0.007398481839319421
practice,1,0.007398481839319421
ask,2,0.014796963678638843
north,1,0.007398481839319421
response,2,0.014796963678638843
useful,1,0.007398481839319421
appears,2,0.014796963678638843
constantly,2,0.014796963678638843
properly,2,0.014796963678638843
completing,1,0.007398481839319421
would,1,0.007398481839319421
behavior,1,0.007398481839319421
america,1,0.007398481839319421
move,2,0.014796963678638843
limitation,1,0.007398481839319421
stage,1,0.007398481839319421
limit,1,0.007398481839319421
follow,1,0.007398481839319421
respond,1,0.007398481839319421
capability,1,0.007398481839319421
assess,1,0.007398481839319421
enhance,2,0.014796963678638843
fact,2,0.014796963678638843
artificial,5,0.036992409196597104
deeper,1,0.007398481839319421
consent,1,0.007398481839319421
everything,1,0.007398481839319421
girl,1,0.007398481839319421
opportunity,2,0.014796963678638843
post,1,0.007398481839319421
generator,2,0.014796963678638843
helping,1,0.007398481839319421
maintaining,1,0.007398481839319421
sexualize,1,0.007398481839319421
related,4,0.029593927357277686
practical,1,0.007398481839319421
support,1,0.007398481839319421
saving,1,0.007398481839319421
formative,1,0.007398481839319421
assignment,16,0.11837570942911074
disaster,1,0.007398481839319421
permitted,2,0.014796963678638843
comply,1,0.007398481839319421
digital,2,0.014796963678638843
particular,1,0.007398481839319421
content,3,0.022195445517958264
avoid,1,0.007398481839319421
draft,8,0.05918785471455537
prepared,1,0.007398481839319421
regardless,1,0.007398481839319421
motivation,2,0.014796963678638843
known,1,0.007398481839319421
skill,8,0.05918785471455537
repository,1,0.007398481839319421
seeking,1,0.007398481839319421
artist,1,0.007398481839319421
executive,1,0.007398481839319421
engaged,1,0.007398481839319421
discus,7,0.051789372875235946
code,2,0.014796963678638843
time,1,0.007398481839319421
identify,3,0.022195445517958264
cost,1,0.007398481839319421
unsuccessful,1,0.007398481839319421
assist,1,0.007398481839319421
tacoma,1,0.007398481839319421
scale,1,0.007398481839319421
lecture,1,0.007398481839319421
frequently,2,0.014796963678638843
visualizing,1,0.007398481839319421
career,6,0.04439089103591653
program,1,0.007398481839319421
tangible,1,0.007398481839319421
male,1,0.007398481839319421
reduces,1,0.007398481839319421
examination,1,0.007398481839319421
creative,3,0.022195445517958264
inherent,1,0.007398481839319421
pattern,2,0.014796963678638843
historically,1,0.007398481839319421
across,2,0.014796963678638843
note,3,0.022195445517958264
submitted,1,0.007398481839319421
three,1,0.007398481839319421
algorithm,2,0.014796963678638843
policy,3,0.022195445517958264
relevance,1,0.007398481839319421
path,1,0.007398481839319421
functionality,2,0.014796963678638843
selected,1,0.007398481839319421
pervades,1,0.007398481839319421
better,1,0.007398481839319421
generated,1,0.007398481839319421
demand,1,0.007398481839319421
citation,5,0.036992409196597104
tool,38,0.281142309894138
adapt,2,0.014796963678638843
prepare,3,0.022195445517958264
please,5,0.036992409196597104
discipline,2,0.014796963678638843
knowing,1,0.007398481839319421
discussion,2,0.014796963678638843
used,7,0.051789372875235946
specific,1,0.007398481839319421
year,1,0.007398481839319421
people,1,0.007398481839319421
thus,3,0.022195445517958264
articulate,2,0.014796963678638843
work,10,0.07398481839319421
précis,1,0.007398481839319421
fiction,1,0.007398481839319421
conducted,1,0.007398481839319421
survey,1,0.007398481839319421
addition,3,0.022195445517958264
student,56,0.41431498300188757
meet,1,0.007398481839319421
remind,1,0.007398481839319421
involved,1,0.007398481839319421
see,1,0.007398481839319421
