Term,Word Count,TF-IDF
depending,1,0.003686098987079342
compromising,2,0.007372197974158684
action,2,0.007372197974158684
ask,9,0.03317489088371407
impacted,1,0.003686098987079342
hurdle,2,0.007372197974158684
far,1,0.003686098987079342
drawn,1,0.003686098987079342
authenticity,2,0.007372197974158684
indeed,2,0.007372197974158684
measuring,2,0.007372197974158684
stress,1,0.003686098987079342
innovate,1,0.003686098987079342
directly,1,0.003686098987079342
consult,1,0.003686098987079342
would,5,0.01843049493539671
realise,1,0.003686098987079342
large,2,0.007372197974158684
relate,1,0.003686098987079342
show,1,0.003686098987079342
avenue,1,0.003686098987079342
prosecution,2,0.007372197974158684
redress,1,0.003686098987079342
relative,1,0.003686098987079342
reasoning,1,0.003686098987079342
enhance,1,0.003686098987079342
showcasing,1,0.003686098987079342
reverse,1,0.003686098987079342
pedagogical,2,0.007372197974158684
moderation,1,0.003686098987079342
adverse,1,0.003686098987079342
opportunity,10,0.03686098987079342
post,1,0.003686098987079342
teamwork,2,0.007372197974158684
appropriate,3,0.011058296961238025
seven,8,0.029488791896634736
workflow,2,0.007372197974158684
support,5,0.01843049493539671
diversify,5,0.01843049493539671
gallery,1,0.003686098987079342
specifically,2,0.007372197974158684
type,3,0.011058296961238025
designing,4,0.014744395948317368
remaining,1,0.003686098987079342
assignment,16,0.05897758379326947
ongoing,3,0.011058296961238025
necessary,2,0.007372197974158684
commonly,2,0.007372197974158684
staff,6,0.02211659392247605
documentation,1,0.003686098987079342
available,3,0.011058296961238025
digital,2,0.007372197974158684
interpretation,1,0.003686098987079342
beneficial,1,0.003686098987079342
copy,1,0.003686098987079342
showcase,6,0.02211659392247605
prioritise,2,0.007372197974158684
good,1,0.003686098987079342
x,2,0.0
carefully,2,0.007372197974158684
integration,1,0.003686098987079342
skill,10,0.03686098987079342
doc,1,0.003686098987079342
pace,2,0.007372197974158684
unfairly,2,0.007372197974158684
delivered,1,0.003686098987079342
whole,1,0.003686098987079342
time,6,0.02211659392247605
presentation,23,0.08478027670282486
heightened,1,0.003686098987079342
th,1,0.003686098987079342
early,2,0.007372197974158684
implemented,2,0.007372197974158684
http,2,0.007372197974158684
based,5,0.01843049493539671
program,5,0.01843049493539671
active,1,0.003686098987079342
range,5,0.01843049493539671
elective,1,0.003686098987079342
elaborate,1,0.003686098987079342
relevant,8,0.029488791896634736
across,3,0.011058296961238025
heavily,2,0.007372197974158684
three,5,0.01843049493539671
devising,1,0.003686098987079342
underlying,1,0.003686098987079342
specified,1,0.003686098987079342
featuring,1,0.003686098987079342
minimise,2,0.007372197974158684
tool,22,0.08109417771574552
adapt,1,0.003686098987079342
earlier,1,0.003686098987079342
nb,2,0.007372197974158684
prominent,2,0.007372197974158684
specific,4,0.014744395948317368
discussion,4,0.014744395948317368
give,1,0.003686098987079342
published,1,0.003686098987079342
year,11,0.04054708885787276
industry,1,0.003686098987079342
equitable,1,0.003686098987079342
