Term,Word Count,TF-IDF
respect,2,0.015604536273865878
informed,1,0.007802268136932939
today,1,0.007802268136932939
ask,2,0.015604536273865878
drawn,1,0.007802268136932939
october,1,0.007802268136932939
guidance,15,0.11703402205399409
utilised,1,0.007802268136932939
directly,1,0.007802268136932939
decide,2,0.015604536273865878
limitation,3,0.02340680441079882
rule,14,0.10923175391706115
applicable,3,0.02340680441079882
recommended,5,0.0390113406846647
prior,3,0.02340680441079882
considers,1,0.007802268136932939
purpose,1,0.007802268136932939
assess,2,0.015604536273865878
menu,1,0.007802268136932939
artificial,2,0.015604536273865878
click,1,0.007802268136932939
pedagogical,2,0.015604536273865878
run,1,0.007802268136932939
opportunity,2,0.015604536273865878
sensitive,2,0.015604536273865878
clear,1,0.007802268136932939
previously,2,0.015604536273865878
examiner,15,0.11703402205399409
one,1,0.007802268136932939
support,5,0.0390113406846647
type,1,0.007802268136932939
designing,1,0.007802268136932939
assignment,3,0.02340680441079882
necessary,3,0.02340680441079882
permitted,8,0.06241814509546351
find,1,0.007802268136932939
available,4,0.031209072547731757
bard,1,0.007802268136932939
content,8,0.06241814509546351
google,2,0.015604536273865878
speech,2,0.015604536273865878
good,1,0.007802268136932939
voice,1,0.007802268136932939
placed,1,0.007802268136932939
consensus,1,0.007802268136932939
skill,1,0.007802268136932939
transcription,1,0.007802268136932939
pace,1,0.007802268136932939
applies,1,0.007802268136932939
ethnic,1,0.007802268136932939
code,1,0.007802268136932939
interactive,2,0.015604536273865878
identify,1,0.007802268136932939
explained,1,0.007802268136932939
based,10,0.0780226813693294
program,5,0.0390113406846647
career,1,0.007802268136932939
offered,3,0.02340680441079882
circumstance,1,0.007802268136932939
examination,30,0.23406804410798818
rely,1,0.007802268136932939
relevant,1,0.007802268136932939
across,2,0.015604536273865878
basis,1,0.007802268136932939
reached,1,0.007802268136932939
note,2,0.015604536273865878
additional,1,0.007802268136932939
opinion,1,0.007802268136932939
underlying,2,0.015604536273865878
sweden,2,0.015604536273865878
policy,5,0.0390113406846647
illuminated,1,0.007802268136932939
tool,35,0.27307938479265287
please,1,0.007802268136932939
mean,5,0.0390113406846647
used,6,0.04681360882159764
published,3,0.02340680441079882
give,1,0.007802268136932939
detect,1,0.007802268136932939
work,8,0.06241814509546351
användning,1,0.007802268136932939
survey,1,0.007802268136932939
precondition,1,0.007802268136932939
phone,1,0.007802268136932939
student,21,0.16384763087559173
meet,1,0.007802268136932939
se,1,0.007802268136932939
enhancement,1,0.007802268136932939
still,1,0.007802268136932939
see,1,0.007802268136932939
great,1,0.007802268136932939
currently,4,0.031209072547731757
widespread,1,0.007802268136932939
allows,2,0.015604536273865878
relationship,1,0.007802268136932939
instance,1,0.007802268136932939
affect,1,0.007802268136932939
taking,1,0.007802268136932939
know,1,0.007802268136932939
model,3,0.02340680441079882
för,1,0.007802268136932939
area,1,0.007802268136932939
living,1,0.007802268136932939
could,2,0.015604536273865878
västra,1,0.007802268136932939
regarding,5,0.0390113406846647
progressing,1,0.007802268136932939
grade,1,0.007802268136932939
developed,2,0.015604536273865878
image,5,0.0390113406846647
page,3,0.02340680441079882
version,2,0.015604536273865878
encouraged,1,0.007802268136932939
origin,1,0.007802268136932939
given,4,0.031209072547731757
procedure,1,0.007802268136932939
rapidly,1,0.007802268136932939
instruction,1,0.007802268136932939
person,1,0.007802268136932939
essential,1,0.007802268136932939
amplify,1,0.007802268136932939
sustainable,1,0.007802268136932939
login,1,0.007802268136932939
utbildningen,1,0.007802268136932939
probably,1,0.007802268136932939
vägledning,2,0.015604536273865878
created,1,0.007802268136932939
box,1,0.007802268136932939
coursework,5,0.0390113406846647
caution,1,0.007802268136932939
system,1,0.007802268136932939
encounter,1,0.007802268136932939
technological,2,0.015604536273865878
hamngatan,1,0.007802268136932939
educational,1,0.007802268136932939
