Term,Word Count,TF-IDF
tackle,2,0.0036538960844610933
email,2,0.0036538960844610933
introduce,2,0.0036538960844610933
action,3,0.00548084412669164
huber,1,0.0018269480422305466
entirely,4,0.007307792168922187
replacing,1,0.0018269480422305466
informed,4,0.007307792168922187
ask,19,0.034712012802380385
north,1,0.0018269480422305466
far,5,0.009134740211152733
indicated,2,0.0036538960844610933
october,1,0.0018269480422305466
constantly,3,0.00548084412669164
denver,1,0.0018269480422305466
properly,1,0.0018269480422305466
wording,1,0.0018269480422305466
anxiously,1,0.0018269480422305466
would,11,0.020096428464536013
checker,2,0.0036538960844610933
selection,4,0.007307792168922187
large,9,0.01644253238007492
move,2,0.0036538960844610933
show,6,0.01096168825338328
hur,1,0.0018269480422305466
normal,1,0.0018269480422305466
resolved,2,0.0036538960844610933
grounded,1,0.0018269480422305466
opposed,1,0.0018269480422305466
enhance,2,0.0036538960844610933
connected,2,0.0036538960844610933
attractive,1,0.0018269480422305466
phased,2,0.0036538960844610933
pedagogical,6,0.01096168825338328
gaining,2,0.0036538960844610933
opportunity,17,0.031058116717919294
appropriate,7,0.012788636295613826
unclear,2,0.0036538960844610933
peripheral,1,0.0018269480422305466
support,28,0.051154545182455304
ongoing,5,0.009134740211152733
specifically,3,0.00548084412669164
type,16,0.029231168675688746
supplemented,2,0.0036538960844610933
assignment,36,0.06577012952029967
upcoming,1,0.0018269480422305466
easier,2,0.0036538960844610933
commonly,2,0.0036538960844610933
managed,3,0.00548084412669164
interpretation,3,0.00548084412669164
available,8,0.014615584337844373
choice,1,0.0018269480422305466
stockholm,1,0.0018269480422305466
mer,1,0.0018269480422305466
appointed,1,0.0018269480422305466
beneficial,1,0.0018269480422305466
fed,1,0.0018269480422305466
convincingly,1,0.0018269480422305466
matter,2,0.0036538960844610933
good,32,0.05846233735137749
carefully,2,0.0036538960844610933
skill,8,0.014615584337844373
practising,1,0.0018269480422305466
humorous,1,0.0018269480422305466
artist,2,0.0036538960844610933
delivered,1,0.0018269480422305466
whole,1,0.0018269480422305466
time,45,0.0822126619003746
behaviour,3,0.00548084412669164
presentation,6,0.01096168825338328
curious,2,0.0036538960844610933
portfolio,1,0.0018269480422305466
cost,2,0.0036538960844610933
råbyvägen,1,0.0018269480422305466
early,6,0.01096168825338328
matrix,2,0.0036538960844610933
frequently,1,0.0018269480422305466
http,1,0.0018269480422305466
based,18,0.03288506476014984
enheten,1,0.0018269480422305466
rely,1,0.0018269480422305466
three,8,0.014615584337844373
problematize,1,0.0018269480422305466
phrase,1,0.0018269480422305466
laid,1,0.0018269480422305466
thesis,1,0.0018269480422305466
typical,1,0.0018269480422305466
constructed,1,0.0018269480422305466
throughput,1,0.0018269480422305466
elena,1,0.0018269480422305466
rethink,1,0.0018269480422305466
specific,18,0.03288506476014984
discussion,24,0.04384675301353312
anyone,1,0.0018269480422305466
stipulates,1,0.0018269480422305466
stricter,1,0.0018269480422305466
give,15,0.0274042206334582
published,2,0.0036538960844610933
year,2,0.0036538960844610933
people,2,0.0036538960844610933
systematically,2,0.0036538960844610933
british,1,0.0018269480422305466
needed,6,0.01096168825338328
smorgasbord,1,0.0018269480422305466
distorted,1,0.0018269480422305466
survey,2,0.0036538960844610933
