name,engage,privacy,access,teaching,learning
LiU,0,0,0,-0.5789,0
CTH,0,0.24975,0.401325,0,0.1589
LNU,0,0,0.342754545454545,0.175685714285714,0.189719047619048
SU,0.46245,0,0.5849,0.39076,0.5535
KAU,0,0,0,0.569633333333333,0.38155
ORU,0.34,0.480466666666667,0.5267,0.19885,0.200426086956522
UU,0.6853,0.240925,0.418084615384615,0.336079661016949,0.325197619047619
SLU,0,0.4404,0.553811111111111,-0.17674,0.20247
KI,0,0,0.133728571428571,0.2986,0.1729375
MIUN,0,0,0.169057142857143,0.344554545454545,0.363066666666667
KTH,0.6908,-0.03166,0.378713333333333,0.32665,0.2739703125
GU,0,0,0.1541,0.14192,0.3816
Lund,0,0,0.5881,0.2682375,0.398
UMU,0.46114,0,0,0.4679,0.371233333333333
LTU,0,0,0,0,0
MAU,0,0,0,0,0
SSE,0,0,0,0,0
MDU,0,0,0,0,0
