Term,Word Count,TF-IDF
ask,1,0.0069464547048554755
devised,1,0.0069464547048554755
ultimately,1,0.0069464547048554755
realise,1,0.0069464547048554755
large,5,0.03473227352427738
relate,2,0.013892909409710951
degree,1,0.0069464547048554755
manipulated,1,0.0069464547048554755
resolved,1,0.0069464547048554755
blackboard,1,0.0069464547048554755
pedagogical,4,0.027785818819421902
streaming,1,0.0069464547048554755
prediction,1,0.0069464547048554755
opportunity,2,0.013892909409710951
sensitive,1,0.0069464547048554755
support,8,0.055571637638843804
type,2,0.013892909409710951
selfie,1,0.0069464547048554755
interpretation,1,0.0069464547048554755
available,1,0.0069464547048554755
wonder,1,0.0069464547048554755
avoid,1,0.0069464547048554755
absolutely,1,0.0069464547048554755
good,3,0.020839364114566425
adapts,1,0.0069464547048554755
integration,1,0.0069464547048554755
skill,1,0.0069464547048554755
big,1,0.0069464547048554755
pace,2,0.013892909409710951
whole,1,0.0069464547048554755
time,1,0.0069464547048554755
behaviour,1,0.0069464547048554755
curious,1,0.0069464547048554755
dealing,1,0.0069464547048554755
matrix,1,0.0069464547048554755
based,4,0.027785818819421902
program,1,0.0069464547048554755
active,1,0.0069464547048554755
relevant,10,0.06946454704855476
wisdom,1,0.0069464547048554755
regard,1,0.0069464547048554755
algorithm,2,0.013892909409710951
refinement,1,0.0069464547048554755
authoritarian,1,0.0069464547048554755
tool,16,0.11114327527768761
healthcare,3,0.020839364114566425
specific,1,0.0069464547048554755
discussion,13,0.09030391116312118
anyone,1,0.0069464547048554755
predominantly,1,0.0069464547048554755
industry,1,0.0069464547048554755
give,1,0.0069464547048554755
counter,1,0.0069464547048554755
year,1,0.0069464547048554755
people,1,0.0069464547048554755
apart,1,0.0069464547048554755
afford,1,0.0069464547048554755
student,26,0.18060782232624237
search,1,0.0069464547048554755
profession,3,0.020839364114566425
storage,1,0.0069464547048554755
formulating,1,0.0069464547048554755
camera,1,0.0069464547048554755
definitive,1,0.0069464547048554755
update,1,0.0069464547048554755
number,1,0.0069464547048554755
currently,1,0.0069464547048554755
site,1,0.0069464547048554755
late,1,0.0069464547048554755
car,1,0.0069464547048554755
suitable,1,0.0069464547048554755
approved,2,0.013892909409710951
established,1,0.0069464547048554755
intend,2,0.013892909409710951
every,1,0.0069464547048554755
look,1,0.0069464547048554755
taking,4,0.027785818819421902
model,7,0.04862518293398833
area,9,0.06251809234369927
maybe,1,0.0069464547048554755
go,1,0.0069464547048554755
shared,1,0.0069464547048554755
focusing,1,0.0069464547048554755
regarding,1,0.0069464547048554755
image,5,0.03473227352427738
history,1,0.0069464547048554755
publishes,1,0.0069464547048554755
page,6,0.04167872822913285
rectangle,1,0.0069464547048554755
instruction,2,0.013892909409710951
given,1,0.0069464547048554755
external,2,0.013892909409710951
always,1,0.0069464547048554755
satisfactorily,1,0.0069464547048554755
bubble,1,0.0069464547048554755
life,2,0.013892909409710951
system,7,0.04862518293398833
integrating,2,0.013892909409710951
influence,3,0.020839364114566425
making,1,0.0069464547048554755
involve,1,0.0069464547048554755
part,9,0.06251809234369927
future,11,0.07641100175341023
higher,2,0.013892909409710951
increase,1,0.0069464547048554755
aid,5,0.03473227352427738
cook,1,0.0069464547048554755
yet,2,0.013892909409710951
cover,1,0.0069464547048554755
working,1,0.0069464547048554755
centre,1,0.0069464547048554755
min,2,0.013892909409710951
ecology,1,0.0069464547048554755
prerequisite,1,0.0069464547048554755
round,1,0.0069464547048554755
learning,30,0.20839364114566425
synthesising,1,0.0069464547048554755
possible,1,0.0069464547048554755
social,4,0.027785818819421902
say,1,0.0069464547048554755
within,3,0.020839364114566425
sequence,1,0.0069464547048554755
academic,1,0.0069464547048554755
develop,1,0.0069464547048554755
risk,1,0.0069464547048554755
protect,1,0.0069464547048554755
context,1,0.0069464547048554755
evidence,1,0.0069464547048554755
collected,1,0.0069464547048554755
gdpr,1,0.0069464547048554755
test,1,0.0069464547048554755
complex,2,0.013892909409710951
network,4,0.027785818819421902
manager,1,0.0069464547048554755
world,5,0.03473227352427738
difficult,1,0.0069464547048554755
even,1,0.0069464547048554755
material,6,0.04167872822913285
trace,1,0.0069464547048554755
prevent,2,0.013892909409710951
answer,2,0.013892909409710951
music,3,0.020839364114566425
various,1,0.0069464547048554755
personal,1,0.0069464547048554755
symbol,1,0.0069464547048554755
fake,2,0.013892909409710951
concept,4,0.027785818819421902
arise,1,0.0069464547048554755
least,1,0.0069464547048554755
moreover,1,0.0069464547048554755
think,11,0.07641100175341023
partly,1,0.0069464547048554755
developing,1,0.0069464547048554755
considered,1,0.0069464547048554755
function,1,0.0069464547048554755
bear,1,0.0069464547048554755
strategic,2,0.013892909409710951
provide,2,0.013892909409710951
upgrade,1,0.0069464547048554755
cheap,1,0.0069464547048554755
host,1,0.0069464547048554755
solution,1,0.0069464547048554755
earth,1,0.0069464547048554755
office,1,0.0069464547048554755
first,1,0.0069464547048554755
hand,2,0.013892909409710951
issue,2,0.013892909409710951
subject,4,0.027785818819421902
important,3,0.020839364114566425
aware,2,0.013892909409710951
take,1,0.0069464547048554755
process,2,0.013892909409710951
research,7,0.04862518293398833
seeing,1,0.0069464547048554755
general,2,0.013892909409710951
new,3,0.020839364114566425
computer,1,0.0069464547048554755
u,3,0.0
experience,1,0.0069464547048554755
read,2,0.013892909409710951
concrete,2,0.013892909409710951
assessment,3,0.020839364114566425
rapid,3,0.020839364114566425
security,4,0.027785818819421902
exist,1,0.0069464547048554755
use,17,0.11808972998254308
review,1,0.0069464547048554755
disseminated,1,0.0069464547048554755
ability,3,0.020839364114566425
outcome,2,0.013892909409710951
data,17,0.11808972998254308
intelligence,6,0.04167872822913285
cheating,2,0.013892909409710951
format,1,0.0069464547048554755
demonstration,1,0.0069464547048554755
contextualising,1,0.0069464547048554755
sometimes,1,0.0069464547048554755
challenge,4,0.027785818819421902
learn,4,0.027785818819421902
group,1,0.0069464547048554755
